Position,Track Name,Artist,Streams,URL,Date,Unique ID,Year,Month,Day,Full_Year,Reformatted_Date
143,JACKBOYS,JACKBOYS,5363493,https://open.spotify.com/track/62zKJrpbLxz6InR3tGyr7o,01.02.20,01.02.20_143,20,1,2,2020,20200102
144,Perfect,Ed Sheeran,5359303,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v,01.02.20,01.02.20_144,20,1,2,2020,20200102
145,One Kiss (with Dua Lipa),Calvin Harris,5322598,https://open.spotify.com/track/7ef4DlsgrMEH11cDZd32M6,01.02.20,01.02.20_145,20,1,2,2020,20200102
146,QUE PRETENDES,J Balvin,5322063,https://open.spotify.com/track/25ZAibhr3bdlMCLmubZDVt,01.02.20,01.02.20_146,20,1,2,2020,20200102
147,Say You Won't Let Go,James Arthur,5310870,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh,01.02.20,01.02.20_147,20,1,2,2020,20200102
148,Take What You Want (feat. Ozzy Osbourne & Travis Scott),Post Malone,5287562,https://open.spotify.com/track/7CZyCXKG6d5ALeq41sLzbw,01.02.20,01.02.20_148,20,1,2,2020,20200102
149,If I Can't Have You,Shawn Mendes,5281458,https://open.spotify.com/track/2bT1PH7Cw3J9p3t7nlXCdh,01.02.20,01.02.20_149,20,1,2,2020,20200102
150,Roller,Apache 207,5253358,https://open.spotify.com/track/6hw1Sy9wZ8UCxYGdpKrU6M,01.02.20,01.02.20_150,20,1,2,2020,20200102
151,All I Want for Christmas Is You,Mariah Carey,5241737,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn,01.02.20,01.02.20_151,20,1,2,2020,20200102
152,MIDDLE CHILD,J. Cole,5189291,https://open.spotify.com/track/2JvzF1RMd7lE3KmFlsyZD8,01.02.20,01.02.20_152,20,1,2,2020,20200102
153,"Taki Taki (feat. Selena Gomez, Ozuna & Cardi B)",DJ Snake,5182771,https://open.spotify.com/track/0KoiMHhqKLoL4xM54rcWYY,01.02.20,01.02.20_153,20,1,2,2020,20200102
154,Never Seen the Rain,Tones And I,5177796,https://open.spotify.com/track/2grAr8pWMuLWn8ZYEE9wDV,01.02.20,01.02.20_154,20,1,2,2020,20200102
155,SENTADÃO,PEDRO SAMPAIO,5173753,https://open.spotify.com/track/4lKuzrdZrJuCAedbIslF3A,01.02.20,01.02.20_155,20,1,2,2020,20200102
156,Combatchy (feat. MC Rebecca),Anitta,5149797,https://open.spotify.com/track/2bPtwnrpFNEe8N7Q85kLHw,01.02.20,01.02.20_156,20,1,2,2020,20200102
157,11:00 PM,Maluma,5147702,https://open.spotify.com/track/7KbF6AdprOXEEHlsq11Z6d,01.02.20,01.02.20_157,20,1,2,2020,20200102
158,Perreo en La Luna,Rich Music LTD,5147442,https://open.spotify.com/track/0RDgqtvOHLwcI6yz9bjsZV,01.02.20,01.02.20_158,20,1,2,2020,20200102
159,Youngblood,5 Seconds of Summer,5127620,https://open.spotify.com/track/2iUXsYOEPhVqEBwsqP70rE,01.02.20,01.02.20_159,20,1,2,2020,20200102
160,Bruises,Lewis Capaldi,5119165,https://open.spotify.com/track/4Of7rzpRpV1mWRbhp5rAqG,01.02.20,01.02.20_160,20,1,2,2020,20200102
161,Moonlight,XXXTENTACION,5092728,https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL,01.02.20,01.02.20_161,20,1,2,2020,20200102
162,all the good girls go to hell,Billie Eilish,5089157,https://open.spotify.com/track/6IRdLKIyS4p7XNiP8r6rsx,01.02.20,01.02.20_162,20,1,2,2020,20200102
